Item Name,Aisle_Loc
Laser paper,Aisle 1 (first half)
Inkject paper,Aisle 1 (first half)
Colour paper,Aisle 1 (first half)
Multiuse paper,Aisle 1 (first half)
Copy paper,Aisle 1 (first half)
Cardstock paper,Aisle 1 (first half)
Coverstock paper,Aisle 1 (first half)
Paper rolls,Aisle 1 (first half)
Thermal roll,Aisle 1 (first half)
Refill paper,Aisle 1 (first half)
Lamination paper,Aisle 1 (first half)
Binding,Aisle 1 (first half)
indexes,Aisle 1 (first half)
Sheet protector,Aisle 1 (first half)
Report covers,Aisle 1 (first half)
Presentation folders,Aisle 1 (second half)
Plastic storage,Aisle 1 (second half)
Portable files,Aisle 1 (second half)
Sign holders,Aisle 1 (second half)
literature holders,Aisle 1 (second half)
Safes,Aisle 1 (second half)
School bags,Aisle 1 (second half)
Easles,Aisle 1 (Wall)
Easles pads,Aisle 1 (Wall)
Specialty pads,Aisle 1 (Wall)
Home boards,Aisle 1 (Wall)
Office boards,Aisle 1 (Wall)
White boards,Aisle 1 (Wall)
Cork boards,Aisle 1 (Wall)
Binders,Aisle 1 (Wall)
Containers,Aisle 1 (Wall)
Storage Containers,Aisle 1 (Wall)
Paper Packs,Aisle 2 (First half)
Coin roller,Aisle 2 (First half)
Cash boxes,Aisle 2 (First half)
Name cards,Aisle 2 (First half)
ID card holders,Aisle 2 (First half)
Avery labels,Aisle 2 (First half)
Avery Stickers,Aisle 2 (First half)
Avery Supplies,Aisle 2 (First half)
Folder tabs,Aisle 2 (First half)
Folder frames,Aisle 2 (First half)
Labels,Aisle 2 (First half)
Name badges,Aisle 2 (First half)
Stationary,Aisle 2 (First half)
Invitation,Aisle 2 (First half)
Envelopes,Aisle 2 (First half)
Jouranls,Aisle 2 (First half)
Notebooks,Aisle 2 (First half)
Post-it Notes,Aisle 2 (First half)
Post-it Flags,Aisle 2 (First half)
Packinging protection,Aisle 2 (First half)
Packinging supply,Aisle 2 (First half)
Packing tape,Aisle 2 (First half)
White mailing labels,Aisle 2 (First half)
Clear mailing lables,Aisle 2 (First half)
ID supplies,Aisle 2 (First half)
Filling supplies,Aisle 2 (First half)
Specialty envelopes,Aisle 2 (First half)
Scales,Aisle 2 (First half)
Moving Supplies,Aisle 2 (Second half)
T-shirt transfers,Aisle 2 (Second half)
T-shit Cards,Aisle 2 (Second half)
Jouranl,Aisle 2 (Second half)
Expandable files,Aisle 2 (Second half)
Fileholders,Aisle 2 (Second half)
Hanging files,Aisle 2 (Second half)
Cleaning Supplies,Aisle 3  (First half)
Cleaning tools,Aisle 3  (First half)
Bathroom  tissue,Aisle 3  (First half)
Waste bins,Aisle 3  (First half)
Garbage bags,Aisle 3  (First half)
Janitorial papers,Aisle 3  (First half)
Waste supplies,Aisle 3  (First half)
Tool box,Aisle 3  (First half)
Padlocks,Aisle 3  (First half)
Locker mirror,Aisle 3  (First half)
Light bulbs,Aisle 3  (First half)
First Aid kit,Aisle 3  (First half)
Fire Extinguisher,Aisle 3  (First half)
Business forms,Aisle 3  (First half)
Accounting,Aisle 3  (First half)
Office aplliances,Aisle 3  (First half)
Brew coffee,Aisle 3  (First half)
Sparkling Beverage,Aisle 3  (First half)
Backpacks,Aisle 3  (Second half)
Business suitcase,Aisle 3  (Second half)
Travel luggage,Aisle 3  (Second half)
Travel Accessories,Aisle 3  (Second half)
Vinyle letters,Aisle 3  (Second half)
Vingl signs,Aisle 3  (Second half)
Signs,Aisle 3  (Second half)
Business stationary,Aisle 3  (Second half)
Foambards,Aisle 3  (Second half)
Presentation board,Aisle 3  (Second half)
Staplers,Aisle 3  (Second half)
Trimmers,Aisle 3  (Second half)
Scissors,Aisle 3  (Second half)
Rulers,Aisle 3  (Second half)
Hole-punchers,Aisle 3  (Second half)
Artbox,Aisle 3  (Second half)
Craft Material,Aisle 3  (Second half)
Padfolios,Aisle 3  (Second half)
Cardholders,Aisle 3  (Second half)
Glasses,Aisle 3  (Second half)
Paper Tape,Aisle 4 (First half)
Glue,Aisle 4 (First half)
Glue bands,Aisle 4 (First half)
Rubber bands,Aisle 4 (First half)
Paper clips,Aisle 4 (First half)
Binder clips,Aisle 4 (First half)
Hanging solutions,Aisle 4 (First half)
Index cards,Aisle 4 (First half)
Index storage,Aisle 4 (First half)
Daytime,Aisle 4 (First half)
Planners,Aisle 4 (First half)
Erasable planners,Aisle 4 (First half)
Rubber stamps,Aisle 4 (First half)
Correction pens,Aisle 4 (First half)
White-out,Aisle 4 (First half)
Highlighters,Aisle 4 (First half)
Erases,Aisle 4 (First half)
Shapeners,Aisle 4 (First half)
Pencil,Aisle 4 (First half)
Markers,Aisle 4 (First half)
Dry Erase,Aisle 4 (First half)
Pens,Aisle 4 (First half)
Refills,Aisle 4 (First half)
Fine pens,Aisle 4 (First half)
Kids craft,Aisle 4 (Second half)
Lego,Aisle 4 (Second half)
Kids toys,Aisle 4 (Second half)
Puzzles,Aisle 4 (Second half)
Games,Aisle 4 (Second half)
Educational supplies,Aisle 4 (Second half)
Kids learning,Aisle 4 (Second half)
Book,Aisle 4 (Second half)
Clip noards,Aisle 4 (Second half)
classroom storage,Aisle 4 (Second half)
craft supplies,Aisle 4 (Second half)
Playdough,Aisle 4 (Second half)
